nb_calls,reason,year,month,day,weekday,hour
1,IN,2010,1,8,Friday,11
1,NE,2010,1,8,Friday,11
7,NW,2010,1,8,Friday,11
1,PE,2010,1,8,Friday,11
56,PS,2010,1,8,Friday,11
1,TT,2010,1,8,Friday,11
1,NE,2010,1,8,Friday,13
6,NW,2010,1,8,Friday,13
38,PS,2010,1,8,Friday,13
1,TT,2010,1,8,Friday,13
6,NW,2010,1,8,Friday,14
1,PE,2010,1,8,Friday,14
16,PS,2010,1,8,Friday,14
2,NW,2010,1,8,Friday,15
1,NW,2010,1,8,Friday,16
3,NW,2010,1,8,Friday,19
2,NW,2010,1,8,Friday,20
1,NW,2010,1,8,Friday,21
1,NW,2010,1,9,Saturday,10
1,NW,2010,1,9,Saturday,15
1,NW,2010,1,9,Saturday,17
1,IN,2010,1,9,Saturday,18
1,NE,2010,1,9,Saturday,18
7,NW,2010,1,9,Saturday,18
11,PS,2010,1,9,Saturday,18
9,NW,2010,1,9,Saturday,19
46,PS,2010,1,9,Saturday,19
3,TT,2010,1,9,Saturday,19
1,NE,2010,1,9,Saturday,20
5,NW,2010,1,9,Saturday,20
1,PE,2010,1,9,Saturday,20
34,PS,2010,1,9,Saturday,20
2,IN,2010,1,9,Saturday,21
1,NE,2010,1,9,Saturday,21
5,NW,2010,1,9,Saturday,21
28,PS,2010,1,9,Saturday,21
1,NE,2010,1,9,Saturday,22
1,NW,2010,1,9,Saturday,22
24,PS,2010,1,9,Saturday,22
2,TT,2010,1,9,Saturday,22
1,NE,2010,1,9,Saturday,23
2,NW,2010,1,9,Saturday,23
12,PS,2010,1,9,Saturday,23
1,IN,2010,1,10,Sunday,0
6,NE,2010,1,10,Sunday,0
12,NW,2010,1,10,Sunday,0
97,PS,2010,1,10,Sunday,0
3,TT,2010,1,10,Sunday,0
3,NW,2010,1,10,Sunday,1
1,PS,2010,1,10,Sunday,2
1,PS,2010,1,10,Sunday,3
1,NW,2010,1,10,Sunday,6
1,PS,2010,1,10,Sunday,6
3,NW,2010,1,10,Sunday,7
32,PS,2010,1,10,Sunday,7
1,TT,2010,1,10,Sunday,7
1,IN,2010,1,10,Sunday,8
2,NE,2010,1,10,Sunday,8
34,NW,2010,1,10,Sunday,8
1,PE,2010,1,10,Sunday,8
