nb_calls,reason,year,month,day,weekday,hour
20,PS,2010,1,17,Sunday,23
8,PS,2010,1,17,Sunday,23
9,PS,2010,1,17,Sunday,23
47,NE,2010,1,18,Monday,0
30,PS,2010,1,18,Monday,0
48,NW,2010,1,18,Monday,0
5,TT,2010,1,18,Monday,1
3,PS,2010,1,18,Monday,1
3,PS,2010,1,18,Monday,1
1,NW,2010,1,18,Monday,2
1,PS,2010,1,18,Monday,3
2,PS,2010,1,18,Monday,5
10,PS,2010,1,18,Monday,6
1,PS,2010,1,18,Monday,6
32,PS,2010,1,18,Monday,7
3,PS,2010,1,18,Monday,7
7,PS,2010,1,18,Monday,7
76,NW,2010,1,18,Monday,8
4,PS,2010,1,18,Monday,8
4,PS,2010,1,18,Monday,8
49,PS,2010,1,18,Monday,9
20,PS,2010,1,18,Monday,9
39,PS,2010,1,18,Monday,9
30,NW,2010,1,18,Monday,10
42,PS,2010,1,18,Monday,10
72,PS,2010,1,18,Monday,10
27,PS,2010,1,18,Monday,11
23,PS,2010,1,18,Monday,11
58,PS,2010,1,18,Monday,11
39,PS,2010,1,18,Monday,13
16,PS,2010,1,18,Monday,13
33,PS,2010,1,18,Monday,13
51,PS,2010,1,18,Monday,14
8,PS,2010,1,18,Monday,14
32,PS,2010,1,18,Monday,14
165,NW,2010,1,18,Monday,15
21,PS,2010,1,18,Monday,15
45,PS,2010,1,18,Monday,15
28,PS,2010,1,18,Monday,16
35,PS,2010,1,18,Monday,16
41,PS,2010,1,18,Monday,16
31,PS,2010,1,18,Monday,17
15,PS,2010,1,18,Monday,17
27,PS,2010,1,18,Monday,17
34,NW,2010,1,18,Monday,18
18,NE,2010,1,18,Monday,18
20,PS,2010,1,18,Monday,18
48,PS,2010,1,18,Monday,19
11,PS,2010,1,18,Monday,19
19,PS,2010,1,18,Monday,19
29,PS,2010,1,18,Monday,20
7,PS,2010,1,18,Monday,20
13,PS,2010,1,18,Monday,20
30,PS,2010,1,18,Monday,21
13,PS,2010,1,18,Monday,21
11,PS,2010,1,18,Monday,21
33,NW,2010,1,18,Monday,22
6,TT,2010,1,18,Monday,22
8,PS,2010,1,18,Monday,22
22,PS,2010,1,18,Monday,23
13,NE,2010,1,18,Monday,23
8,PS,2010,1,18,Monday,23
49,PS,2010,1,19,Tuesday,0
27,PS,2010,1,19,Tuesday,0
32,PS,2010,1,19,Tuesday,0
1,NW,2010,1,19,Tuesday,1
6,PS,2010,1,19,Tuesday,6
1,TT,2010,1,19,Tuesday,6
13,PS,2010,1,19,Tuesday,7
9,TT,2010,1,19,Tuesday,7
15,PS,2010,1,19,Tuesday,7
55,PS,2010,1,19,Tuesday,8
12,PS,2010,1,19,Tuesday,8
14,PS,2010,1,19,Tuesday,8
18,NW,2010,1,19,Tuesday,9
29,PS,2010,1,19,Tuesday,9
62,PS,2010,1,19,Tuesday,9
32,PS,2010,1,19,Tuesday,10
41,PS,2010,1,19,Tuesday,10
68,PS,2010,1,19,Tuesday,10
22,PS,2010,1,19,Tuesday,11
34,PS,2010,1,19,Tuesday,11
58,PS,2010,1,19,Tuesday,11
29,PS,2010,1,19,Tuesday,13
23,PS,2010,1,19,Tuesday,13
53,PS,2010,1,19,Tuesday,13
72,NW,2010,1,19,Tuesday,14
14,PS,2010,1,19,Tuesday,14
20,PS,2010,1,19,Tuesday,14
56,PS,2010,1,19,Tuesday,15
12,PS,2010,1,19,Tuesday,15
31,PS,2010,1,19,Tuesday,15
79,NW,2010,1,19,Tuesday,16
14,PS,2010,1,19,Tuesday,16
