year,month,day,hour,reason
2016,11,10,8,AA
2016,11,10,9,AA
2016,11,10,10,AA
2016,11,10,11,AA
2016,11,10,12,AA
2016,11,10,13,AA
2016,11,10,14,AA
2016,11,10,15,AA
2016,11,10,16,AA
2016,11,10,17,AA
2016,11,10,18,AA
2016,11,10,19,AA
2016,11,10,20,AA
2016,11,10,21,AA
2016,11,10,22,AA
2016,11,10,23,AA
2016,11,11,0,AA
2016,11,11,1,AA
2016,11,11,2,AA
2016,11,11,3,AA
2016,11,11,4,AA
2016,11,11,5,AA
2016,11,11,6,AA
2016,11,11,7,AA
2016,11,11,8,AA
2016,11,11,9,AA
2016,11,11,10,AA
2016,11,11,11,AA
2016,11,11,12,AA
2016,11,11,13,AA
2016,11,11,14,AA
2016,11,11,15,AA
2016,11,11,16,AA
2016,11,11,17,AA
2016,11,11,18,AA
2016,11,11,19,AA
2016,11,11,20,AA
2016,11,11,21,AA
2016,11,11,22,AA
2016,11,11,23,AA
2016,11,12,0,AA
2016,11,12,1,AA
2016,11,12,2,AA
2016,11,12,3,AA
2016,11,12,4,AA
2016,11,12,5,AA
2016,11,12,6,AA
2016,11,12,7,AA
2016,11,12,8,AA
2016,11,12,9,AA
2016,11,12,10,AA
2016,11,12,11,AA
2016,11,12,12,AA
2016,11,12,13,AA
2016,11,12,14,AA
2016,11,12,15,AA
2016,11,12,16,AA
2016,11,12,17,AA
2016,11,12,18,AA
2016,11,12,19,AA
2016,11,12,20,AA
2016,11,12,21,AA
2016,11,12,22,AA
2016,11,12,23,AA
2016,11,13,0,AA
2016,11,13,1,AA
2016,11,13,2,AA
2016,11,13,3,AA
2016,11,13,4,AA
2016,11,13,5,AA
2016,11,13,6,AA
2016,11,13,7,AA
2016,11,13,8,AA
2016,11,13,9,AA
2016,11,13,10,AA
2016,11,13,11,AA
2016,11,13,12,AA
2016,11,13,13,AA
2016,11,13,14,AA
2016,11,13,15,AA
2016,11,13,16,AA
2016,11,13,17,AA
2016,11,13,18,AA
2016,11,13,19,AA
2016,11,13,20,AA
2016,11,13,21,AA
2016,11,13,22,AA
2016,11,13,23,AA
2016,11,14,0,AA
2016,11,14,1,AA
2016,11,14,2,AA
2016,11,14,3,AA
2016,11,14,4,AA
2016,11,14,5,AA
2016,11,14,6,AA
2016,11,14,7,AA
2016,11,14,8,AA
2016,11,14,9,AA
